system_state_header
Date,Decimal_Hour,Day,Num_Cars,Operating_Speed,Total_Waiting,Total_In_Trains,D_Labrador,D_Quitumbe,Wait_Labrador,Wait_UCentral,Wait_SanFrancisco,Wait_Magdalena,Wait_Recreo,Wait_Quitumbe,Avg_Train_Occupation_Pct
2025-12-02 08:10:00,8.166666666666666,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 08:20:00,8.333333333333334,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 08:30:00,8.5,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 08:40:00,8.666666666666666,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 08:50:00,8.833333333333334,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 09:00:00,9.0,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 09:10:00,9.166666666666666,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 09:20:00,9.333333333333334,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 09:30:00,9.5,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 09:40:00,9.666666666666666,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 09:50:00,9.833333333333334,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 10:00:00,10.0,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 10:10:00,10.166666666666666,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 10:20:00,10.333333333333334,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 10:30:00,10.5,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 10:40:00,10.666666666666666,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 10:50:00,10.833333333333334,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 11:00:00,11.0,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 11:10:00,11.166666666666666,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 11:20:00,11.333333333333334,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 11:30:00,11.5,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 11:40:00,11.666666666666666,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 11:50:00,11.833333333333334,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 12:00:00,12.0,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 12:10:00,12.166666666666666,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 12:20:00,12.333333333333334,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 12:30:00,12.5,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 12:40:00,12.666666666666666,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 12:50:00,12.833333333333334,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 13:00:00,13.0,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 13:10:00,13.166666666666666,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 13:20:00,13.333333333333334,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 13:30:00,13.5,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 13:40:00,13.666666666666666,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 13:50:00,13.833333333333334,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 14:00:00,14.0,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 14:10:00,14.166666666666666,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 14:20:00,14.333333333333334,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 14:30:00,14.5,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 14:40:00,14.666666666666666,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 14:50:00,14.833333333333334,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 15:00:00,15.0,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 15:10:00,15.166666666666666,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 15:20:00,15.333333333333334,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 15:30:00,15.5,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 15:40:00,15.666666666666666,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 15:50:00,15.833333333333334,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 16:00:00,16.0,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 16:10:00,16.166666666666668,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 16:20:00,16.333333333333332,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 16:30:00,16.5,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 16:40:00,16.666666666666668,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 16:50:00,16.833333333333332,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 17:00:00,17.0,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 17:10:00,17.166666666666668,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 17:20:00,17.333333333333332,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 17:30:00,17.5,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 17:40:00,17.666666666666668,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 17:50:00,17.833333333333332,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 18:00:00,18.0,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 18:10:00,18.166666666666668,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 18:20:00,18.333333333333332,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 18:30:00,18.5,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 18:40:00,18.666666666666668,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 18:50:00,18.833333333333332,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 19:00:00,19.0,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 19:10:00,19.166666666666668,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 19:20:00,19.333333333333332,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 19:30:00,19.5,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 19:40:00,19.666666666666668,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 19:50:00,19.833333333333332,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 20:00:00,20.0,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 20:10:00,20.166666666666668,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 20:20:00,20.333333333333332,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 20:30:00,20.5,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 20:40:00,20.666666666666668,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 20:50:00,20.833333333333332,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 21:00:00,21.0,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 21:10:00,21.166666666666668,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 21:20:00,21.333333333333332,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 21:30:00,21.5,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 21:40:00,21.666666666666668,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 21:50:00,21.833333333333332,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 22:00:00,22.0,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 22:10:00,22.166666666666668,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 22:20:00,22.333333333333332,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 22:30:00,22.5,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 22:40:00,22.666666666666668,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 22:50:00,22.833333333333332,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 23:00:00,23.0,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
